Date,Close,High,Low,Open,Volume,MA7,MA14
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,
2025-05-05,3454.300048828125,3504.5,3446.39990234375,3450.0,1284443,,
2025-05-06,3460.0,3473.0,3437.0,3460.0,1324763,,
2025-05-07,3445.10009765625,3459.5,3420.60009765625,3420.60009765625,1477128,,
2025-05-08,3448.89990234375,3477.0,3428.699951171875,3448.0,2543591,,
2025-05-09,3440.300048828125,3446.199951171875,3398.10009765625,3399.0,2531757,,
2025-05-12,3620.39990234375,3630.5,3502.199951171875,3505.0,2228678,,
2025-05-13,3515.0,3623.0,3510.5,3620.39990234375,3062887,3483.4285714285716,
2025-05-14,3548.699951171875,3561.0,3508.60009765625,3521.0,2119499,3496.9142717633927,
2025-05-15,3579.89990234375,3600.0,3514.10009765625,3564.0,3548330,3514.0428292410716,
2025-05-16,3561.300048828125,3593.89990234375,3546.10009765625,3593.89990234375,1666727,3530.642822265625,
2025-05-19,3518.800048828125,3550.0,3503.699951171875,3550.0,2537377,3540.6285574776784,
2025-05-20,3498.300048828125,3558.0,3494.0,3531.800048828125,2038374,3548.9142717633927,
2025-05-21,3525.800048828125,3537.0,3498.300048828125,3508.0,1440153,3535.4000069754466,
2025-05-22,3477.0,3497.800048828125,3451.300048828125,3495.0,2034383,3529.971435546875,3506.7000034877233
2025-05-23,3514.60009765625,3535.0,3465.60009765625,3477.0,1274331,3525.100027901786,3511.007149832589
2025-05-26,3537.300048828125,3545.0,3510.10009765625,3521.0,967470,3519.014334542411,3516.528581891741
2025-05-27,3498.699951171875,3540.0,3483.10009765625,3532.0,2467680,3510.071463448661,3520.3571428571427
2025-05-28,3497.699951171875,3529.0,3493.0,3520.0,1222933,3507.0571637834823,3523.84286063058
2025-05-29,3498.10009765625,3532.5,3486.5,3504.699951171875,3188072,3507.0285993303573,3527.971435546875
2025-05-30,3463.39990234375,3506.699951171875,3453.10009765625,3490.0,3404365,3498.1142926897323,3516.757149832589
2025-06-02,3449.800048828125,3460.0,3418.60009765625,3450.0,1877585,3494.228585379464,3512.10001046317
2025-06-03,3405.199951171875,3473.5,3400.5,3446.0,2847379,3478.5999930245534,3501.85001046317
